country,city,headline,price_value,currency,review_score,review_count,location_city,source_url,scraped_at_utc,city_key
UK,London,The London Pass®: 100+ Things To Do - Includes Tower Bridge,135.67,$,3.7,863,London,https://www.tripadvisor.com/AttractionProductReview-g186338-d12157207-The_London_PassR_100_Things_To_Do_Includes_Tower_Bridge-London_England.html,2026-02-21T07:21:27.334134,London
UK,London,London Big Bus Hop-On Hop-Off Tour with Optional River Cruise,39.74,$,3.7,8071,London,https://www.tripadvisor.com/AttractionProductReview-g186338-d11454092-London_Big_Bus_Hop_On_Hop_Off_Tour_with_Optional_River_Cruise-London_England.html,2026-02-21T07:21:39.243625,London
UK,London,Tower of London and Crown Jewels Exhibition Ticket,49.06,$,4.6,3387,London,https://www.tripadvisor.com/AttractionProductReview-g186338-d11987901-Tower_of_London_and_Crown_Jewels_Exhibition_Ticket-London_England.html,2026-02-21T07:21:53.462772,London
UK,London,"Stonehenge, Windsor Castle, and Bath from London",122.31,$,4.8,9181,London,https://www.tripadvisor.com/AttractionProductReview-g186338-d11450034-Stonehenge_Windsor_Castle_and_Bath_from_London-London_England.html,2026-02-21T07:22:07.293459,London
UK,Manchester,Alcotraz Prison Cocktail Experience in Manchester,69.89,$,5.0,1203,Manchester,https://www.tripadvisor.com/AttractionProductReview-g187069-d26799194-Alcotraz_Prison_Cocktail_Experience_in_Manchester-Manchester_Greater_Manchester_En.html,2026-02-21T07:22:45.384219,Manchester
UK,Edinburgh,The Chocolatarium Chocolate Tour Experience in Edinburgh,43.85,$,5.0,3904,Edinburgh,https://www.tripadvisor.com/AttractionProductReview-g186525-d18935493-The_Chocolatarium_Chocolate_Tour_Experience_in_Edinburgh-Edinburgh_Scotland.html,2026-02-21T07:23:21.700888,Edinburgh
UK,Edinburgh,Multi-Sensory Haunted Underground Vaults Tour in Edinburgh,37.0,$,4.7,1556,Edinburgh,https://www.tripadvisor.com/AttractionProductReview-g186525-d11485399-Multi_Sensory_Haunted_Underground_Vaults_Tour_in_Edinburgh-Edinburgh_Scotland.html,2026-02-21T07:23:33.788496,Edinburgh
UK,Edinburgh,Haunted Vaults and Graveyard Walking Tour in Edinburgh,35.63,$,4.8,1413,Edinburgh,https://www.tripadvisor.com/AttractionProductReview-g186525-d11456902-Haunted_Vaults_and_Graveyard_Walking_Tour_in_Edinburgh-Edinburgh_Scotland.html,2026-02-21T07:23:47.385135,Edinburgh
France,Paris,Bateaux Parisiens Seine River Gourmet Dinner & Sightseeing Cruise,149.81,$,4.3,2938,Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d11979678-Bateaux_Parisiens_Seine_River_Gourmet_Dinner_Sightseeing_Cruise-Paris_Ile_de_Franc.html,2026-02-21T07:24:24.741580,Paris
France,Paris,Bateaux Mouches Dinner Cruise on the Seine River in Paris,156.18,$,4.3,1636,Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d11469157-Bateaux_Mouches_Dinner_Cruise_on_the_Seine_River_in_Paris-Paris_Ile_de_France.html,2026-02-21T07:24:36.415930,Paris
France,Nice,Official Street Go-Kart in Shibuya,75.78,$,4.9,3017,Nice,https://www.tripadvisor.com/AttractionProductReview-g1066456-d26306463-Official_Street_Go_Kart_in_Shibuya-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,2026-02-21T07:25:13.101116,Nice
France,Nice,3 Days Desert Tour From Marrakech To Merzouga Dunes & Camel Trek,120.14,$,4.9,9942,Nice,https://www.tripadvisor.com/AttractionProductReview-g293734-d15845614-3_Days_Desert_Tour_From_Marrakech_To_Merzouga_Dunes_Camel_Trek-Marrakech_Marrakech.html,2026-02-21T07:25:25.823518,Nice
France,Nice,Flagship 2-Hours Official Street Go-Kart Tour - Tokyo Bay Shop,65.9,$,5.0,4744,Nice,https://www.tripadvisor.com/AttractionProductReview-g1066854-d13317143-Flagship_2_Hours_Official_Street_Go_Kart_Tour_Tokyo_Bay_Shop-Shinagawa_Tokyo_Toky.html,2026-02-21T07:25:39.553055,Nice
Germany,Munich,Third Reich Walking Tour Munich,45.65,$,4.8,2229,Munich,https://www.tripadvisor.com/AttractionProductReview-g187309-d11447825-Third_Reich_Walking_Tour_Munich-Munich_Upper_Bavaria_Bavaria.html,2026-02-21T07:27:02.396571,Munich
