hotel_name,rating,review_count,location,hotel_url,city,hotel_type,price_booking,price_agoda,price_trip,price_final,country,city_key
Ayodya Resort,4.5,7798.0,"Jl. Pantai Mengiat No.4 Nusa Dua Beach, Nusa Dua, Benoa 80363 Indonesia",https://www.tripadvisor.com/Hotel_Review-g608487-d307581-Reviews-Legian_Beach_Hotel-Legian_Kuta_District_Bali.html,Bali,Romantic Hotels in,,132.0,,132.0,Indonesia,Bali
Legian Beach,4.3,4068.0,"Jalan Melasti, Legian 80361 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297700-d7248999-Reviews-Maya_Sanur_Resort_Spa-Sanur_Denpasar_Bali.html,Bali,Romantic Hotels in,,344.0,,344.0,Indonesia,Bali
Merusaka Nusa,4.3,2530.0,"Kawasan Wisata Nusa Dua Lot S-3, Nusa Dua, Benoa 80363 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297698-d308410-Reviews-Merusaka_Nusa_Dua-Nusa_Dua_Benoa_South_Kuta_Bali.html,Bali,Romantic Hotels in,118.0,149.0,,133.5,Indonesia,Bali
Segara Village,4.3,2006.0,"Jl. Segara Ayu, Sanur, Denpasar 80228 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297700-d658058-Reviews-Segara_Village_Hotel-Sanur_Denpasar_Bali.html,Bali,Romantic Hotels in,86.0,86.0,86.0,86.0,Indonesia,Bali
Paradisus By Meliá,4.5,10939.0,"Kawasan Pariwisata ITDC Lot N1, Nusa Dua, Benoa 80363 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297698-d302653-Reviews-Paradisus_By_Melia_Bali-Nusa_Dua_Benoa_South_Kuta_Bali.html,Bali,Romantic Hotels in,196.0,,196.0,196.0,Indonesia,Bali
Amnaya Resort,4.9,3663.0,"Gg. Puspa Ayu No. 99 Jalan Kartika Plaza, Kuta 80361 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297697-d7856221-Reviews-Amnaya_Resort_Kuta-Kuta_Kuta_District_Bali.html,Bali,Romantic Hotels in,83.0,88.0,88.0,88.0,Indonesia,Bali
Discovery Kartika Plaza,4.5,3452.0,"Jl. Kartika Plaza, Kuta 80361 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297697-d307616-Reviews-Discovery_Kartika_Plaza_Hotel-Kuta_Kuta_District_Bali.html,Bali,Romantic Hotels in,81.0,82.0,82.0,82.0,Indonesia,Bali
Griya,4.4,2195.0,"Jl. Danau Tamblingan 47, Sanur, Denpasar 80228 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297700-d325334-Reviews-Griya_Santrian-Sanur_Denpasar_Bali.html,Bali,Romantic Hotels in,115.0,115.0,109.0,115.0,Indonesia,Bali
The Udaya Resorts &,4.9,3034.0,"Jl. Sriwedari No. 48B, Ubud 80571 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297701-d12083148-Reviews-The_Udaya_Resorts_Spa-Ubud_Gianyar_Regency_Bali.html,Bali,Romantic Hotels in,128.0,128.0,128.0,128.0,Indonesia,Bali
Maya Sanur Resort &,4.7,1723.0,"Jl. Danau Tamblingan No. 89M, Sanur, Denpasar 80228 Indonesia",https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html,Bali,Romantic Hotels in,,404.0,,404.0,Indonesia,Bali
The Bandha Hotel &,4.7,2155.0,"Jalan Padma Utara, Legian 80361 Indonesia",https://www.tripadvisor.com/Hotel_Review-g608487-d9978040-Reviews-The_Bandha_Hotel_Suites-Legian_Kuta_District_Bali.html,Bali,Romantic Hotels in,83.0,87.0,87.0,87.0,Indonesia,Bali
Prama Sanur Beach,4.1,3667.0,"Jl Cemara Sanur Jalan Cemara Sanur, Sanur, Denpasar Selatan, Kota Denpasar, Sanur Kauh, Denpasar 80221 Indonesia",https://www.tripadvisor.com/Hotel_Review-g19515105-d545823-Reviews-Prama_Sanur_Beach_Bali-Sanur_Kauh_Denpasar_Bali.html,Bali,Romantic Hotels in,68.0,69.0,69.0,69.0,Indonesia,Bali
ARTOTEL,4.6,3350.0,"Jl. Kesumasari no. 1, Sanur, Denpasar 80227 Indonesia",https://www.tripadvisor.com/Hotel_Review-g297700-d10034774-Reviews-ARTOTEL_Sanur-Sanur_Denpasar_Bali.html,Bali,Romantic Hotels in,87.0,87.0,87.0,87.0,Indonesia,Bali
The Stones Hotel - Legian,4.5,3412.0,"Jl. Raya Pantai Kuta, Banjar Legian Kelod Banjar Legian Kelod, Legian 80361 Indonesia",https://www.tripadvisor.com/Hotel_Review-g608487-d3528272-Reviews-The_Stones_Hotel_Legian_Bali-Legian_Kuta_District_Bali.html,Bali,Romantic Hotels in,117.0,118.0,,117.5,Indonesia,Bali
