name,location,email,rating,review_count,url,phone_clean,has_email,price,city,region,city_key
Sardine Restaurant by K Club,"Jalan Petitenget No 21, Kerobokan Kelod 80561 Indonesia",sardinebykclub@gmail.com,4.4,3891.0,https://www.tripadvisor.com/Restaurant_Review-g13356179-d1637473-Reviews-Sardine_Restaurant_by_K_Club-Kerobokan_Kelod_North_Kuta_Bali.html,6287778187390.0,1.0,$30 – $60,Kerobokan,Indonesia,Bali
Wet Plate Kitchen,"Jl. Pantai Balangan Link. Bakung Sari No.89, 80361 Indonesia",,5.0,5.0,https://www.tripadvisor.com/Restaurant_Review-g294226-d34032946-Reviews-Wet_Plate_Kitchen-Bali.html,6281325740440.0,0.0,$5 – $12,Bali,Indonesia,Bali
The Bistrot,"Jl. Kayu Aya no. 117 (In Front of Red Carpet), 80361 Indonesia",info@bistrot-bali.com,4.3,2022.0,https://www.tripadvisor.com/Restaurant_Review-g294226-d3440251-Reviews-The_Bistrot-Bali.html,62361738308.0,1.0,$17 – $35,Bali,Indonesia,Bali
Terracotta Restaurant,"Jl. Danau Tamblingan No. 51, 80228 Indonesia",,3.7,93.0,https://www.tripadvisor.com/Restaurant_Review-g294226-d4011050-Reviews-Terracotta_Restaurant-Bali.html,6282145813339.0,0.0,$14 – $35,Bali,Indonesia,Bali
Warung Bongkot Bali,Jalan Dewi Sri No. 11 Indonesia,,4.7,3.0,https://www.tripadvisor.com/Restaurant_Review-g294226-d4224511-Reviews-Warung_Bongkot_Bali-Bali.html,6281999115959.0,0.0,$5 – $12,Bali,Indonesia,Bali
Cafe Tahu,"Jl. Raya Denpasar, 82191 Indonesia",,4.1,43.0,https://www.tripadvisor.com/Restaurant_Review-g294226-d4746113-Reviews-Cafe_Tahu-Bali.html,6285100459953.0,0.0,$5 – $12,Bali,Indonesia,Bali
La Brisa,"Jl. Pantai Batu Mejan Gang La Brisa Echo Beach, Canggu 80361 Indonesia",bookings@labrisa-bali.com,4.1,1337.0,https://www.tripadvisor.com/Restaurant_Review-g311298-d12971695-Reviews-La_Brisa-Canggu_North_Kuta_Bali.html,628113946666.0,1.0,$23 – $60,Canggu,Indonesia,Bali
Waroeng Bernadette,"Jl. Kayu Aya No.17 Kayu Aya Square Oberoi, Seminyak 80361 Indonesia",info.waroengbernadette@gmail.com,4.9,3204.0,https://www.tripadvisor.com/Restaurant_Review-g469404-d17848374-Reviews-Waroeng_Bernadette-Seminyak_Kuta_District_Bali.html,628176618999.0,1.0,$8 – $18,Seminyak,Indonesia,Bali
Motel Mexicola Seminyak,"Jl Kayu Jati No 9 Petitenget, Seminyak 80361 Indonesia",info@motelmexicola.info,4.1,5864.0,https://www.tripadvisor.com/Restaurant_Review-g469404-d4040672-Reviews-Motel_Mexicola_Seminyak-Seminyak_Kuta_District_Bali.html,62361736688.0,1.0,$23 – $55,Seminyak,Indonesia,Bali
Mama San,"Jl. Raya Kerobokan No.135, Kerobokan 80361 Indonesia",booking@mamasanbali.com,4.5,4463.0,https://www.tripadvisor.com/Restaurant_Review-g608486-d2385673-Reviews-Mama_San-Kerobokan_North_Kuta_Bali.html,6281806126700.0,1.0,$20 – $40,Kerobokan,Indonesia,Bali
Merah Putih Restaurant,"Jl. Petitenget no. 100x, Kerobokan 80361 Indonesia",info@merahputihbali.com,4.5,3707.0,https://www.tripadvisor.com/Restaurant_Review-g608486-d3966416-Reviews-Merah_Putih_Restaurant-Kerobokan_North_Kuta_Bali.html,623618465950.0,1.0,$25 – $55,Kerobokan,Indonesia,Bali
